N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"75,600",900,-1.18%,100,"4,513,156","5,969,783",52.23,"15,744,804",14.65,9.99,
2,SK하이닉스,"119,000","6,000",-4.80%,"5,000","866,323","728,002",49.62,"6,096,468",10.76,9.53,
3,삼성전자우,"69,100",700,-1.00%,100,"568,615","822,887",75.03,"1,508,040",13.39,N/A,
4,NAVER,"333,000","2,000",-0.60%,100,"546,283","164,049",55.31,"579,671",3.30,15.22,
5,삼성바이오로직스,"818,000","2,000",+0.25%,"2,500","541,230","66,165",10.84,"38,110",131.85,N/A,
6,LG화학,"694,000","2,000",-0.29%,"5,000","489,911","70,592",49.01,"324,256",18.08,2.93,
7,삼성SDI,"684,000","4,000",-0.58%,"5,000","470,349","68,765",45.19,"255,614",42.90,4.54,
8,현대차,"200,000","2,000",-0.99%,"5,000","427,336","213,668",28.37,"511,871",10.13,2.04,
9,카카오,"91,800",500,-0.54%,100,"409,342","445,906",29.10,"2,946,169",36.14,2.70,
10,기아,"80,100","1,100",-1.35%,"5,000","324,696","405,363",35.29,"1,446,006",7.26,5.05,
11,KB금융,"60,300",800,+1.34%,"5,000","250,732","415,808",70.99,"1,140,135",5.76,8.53,
12,POSCO,"282,000","4,000",-1.40%,"5,000","245,867","87,187",52.67,"323,993",4.22,3.61,
13,SK이노베이션,"252,000","13,500",-5.08%,"5,000","233,013","92,466",23.80,"1,044,789","-7,411.76",-13.58,
14,셀트리온,"163,500","1,500",-0.91%,"1,000","225,544","137,947",20.46,"735,139",41.60,16.68,
15,현대모비스,"238,000","3,500",-1.45%,"5,000","225,084","94,573",34.28,"352,898",9.58,4.66,
16,LG전자,"133,500","6,500",-4.64%,"5,000","218,470","163,648",29.19,"1,937,395",19.26,13.23,
17,삼성물산,"111,500",500,-0.45%,100,"208,379","186,887",15.43,"185,971",12.69,3.81,
18,카카오뱅크,"43,800","1,050",+2.46%,"5,000","208,120","475,159",15.43,"5,093,686",141.75,5.08,
19,신한지주,"39,250",450,+1.16%,"5,000","202,765","516,600",61.40,"1,271,149",5.21,8.20,
20,카카오페이,"145,000","9,000",+6.62%,500,"191,230","131,883",42.82,"801,125",-721.39,-17.97,
21,SK,"234,000","3,500",-1.47%,200,"173,509","74,149",21.71,"156,212",27.35,1.11,
22,LG생활건강,"990,000","21,000",+2.17%,"5,000","154,620","15,618",42.31,"81,617",20.60,17.92,
23,크래프톤,"310,000","15,000",-4.62%,100,"151,798","48,967",30.04,"701,148",24.30,61.86,
24,SK바이오사이언스,"185,000","5,000",-2.63%,500,"141,525","76,500",5.39,"371,009",71.24,13.25,
25,하나금융지주,"45,550",200,+0.44%,"5,000","136,760","300,242",69.23,"854,909",4.25,8.96,
26,한국전력,"21,250",200,+0.95%,"5,000","136,417","641,964",14.40,"758,210",-12.52,2.91,
27,삼성전기,"181,000","7,500",-3.98%,"5,000","135,196","74,694",30.32,"948,076",13.91,10.92,
28,삼성생명,"65,200",500,+0.77%,500,"130,400","200,000",12.58,"210,261",8.34,3.53,
29,SK텔레콤,"57,300",500,+0.88%,100,"125,391","218,833",44.81,"756,516",8.89,6.44,
30,LG,"79,200",0,0.00%,"5,000","124,582","157,301",36.17,"215,773",5.22,7.50,
31,엔씨소프트,"565,000","13,000",-2.25%,500,"124,040","21,954",43.59,"191,515",34.88,20.83,
32,HMM,"24,650",250,+1.02%,"5,000","120,548","489,039",10.30,"1,790,711",3.10,8.93,
33,하이브,"285,000","3,000",-1.04%,500,"117,857","41,353",16.24,"248,659",101.39,12.52,
34,삼성에스디에스,"150,500",0,0.00%,500,"116,454","77,378",11.26,"92,643",17.14,6.71,
35,KT&G,"79,200",400,+0.51%,"5,000","108,736","137,292",35.68,"263,918",9.13,13.22,
36,우리금융지주,"14,850",50,+0.34%,"5,000","108,117","728,061",31.32,"1,520,501",4.54,5.87,
37,고려아연,"557,000","9,000",+1.64%,"5,000","105,106","18,870",18.30,"55,620",13.93,8.37,
38,SK아이이테크놀로지,"146,500","3,000",+2.09%,"1,000","104,451","71,298",10.81,"414,840",96.32,11.00,
39,넷마블,"118,500","2,500",+2.16%,100,"101,855","85,954",22.68,"380,981",43.82,6.35,
40,S-Oil,"89,300","2,000",-2.19%,"2,500","100,536","112,583",77.92,"355,411",8.60,-13.07,
41,삼성화재,"209,000","1,500",+0.72%,500,"99,013","47,375",48.34,"62,412",9.04,4.96,
42,포스코케미칼,"127,000",500,-0.39%,500,"98,378","77,463",6.48,"182,160",70.91,2.96,
43,두산중공업,"18,450",200,-1.07%,"5,000","96,350","522,222",7.37,"3,841,210",54.75,-37.20,
44,대한항공,"27,700",200,-0.72%,"5,000","96,346","347,821",11.78,"1,014,489",13.01,-7.22,
45,현대중공업,"105,500","2,000",+1.93%,"5,000","93,656","88,773",2.26,"197,335",-11.51,-7.86,
46,아모레퍼시픽,"159,500","2,500",+1.59%,500,"93,296","58,493",29.96,"253,584",61.51,0.78,
47,SK스퀘어,"60,800","1,700",-2.72%,100,"86,012","141,468",37.64,"1,719,533",N/A,N/A,
48,LG이노텍,"363,000","12,500",-3.33%,"5,000","85,912","23,667",24.13,"561,850",11.50,10.20,
49,KT,"31,750",200,+0.63%,"5,000","82,903","261,112",44.02,"701,314",8.11,4.76,
50,LG디스플레이,"22,150",950,-4.11%,"5,000","79,256","357,816",19.08,"3,965,004",5.02,-0.79,
